Team,RF Positive,RF Negative,NB Positive,NB Negative,LR Positive,LR Negative
76ers,545,474,593,426,613,406
blazers,558,461,594,425,629,390
bucks,547,472,593,426,631,388
bulls,548,471,594,425,624,395
cavaliers,557,462,563,456,589,430
celtics,558,461,599,420,628,391
grizzlies,551,468,582,437,610,409
hawks,555,463,603,415,647,371
heat,544,475,485,534,474,545
hornets,554,465,612,407,657,362
jazz,573,446,689,330,731,288
kings,563,456,648,371,697,322
knicks,550,469,617,402,645,374
lakers,561,458,615,404,645,374
magic,551,468,671,348,729,290
mavericks,556,463,606,413,646,373
nets,549,470,591,428,623,396
nuggets,552,467,601,418,630,389
pacers,552,467,613,406,644,375
pelicans,549,470,584,435,614,405
pistons,540,479,571,448,589,430
raptors,551,468,623,396,668,351
rockets,559,460,608,411,653,366
spurs,547,472,584,435,623,396
suns,565,453,619,399,662,356
thunder,547,471,508,510,528,490
timberwolves,557,462,595,424,630,389
wizards,559,460,611,408,660,359
